message_type,repeat_indicator,mmsi,navigation_status,rate_of_turn,speed_over_ground,position_accuracy,longitude,lon_hemisphere,latitude,lat_hemisphere,course_over_ground,true_heading,utc_second,sync_state,slot_timeout,raim_flag
1,0,563029950,15,-128.0,0.1,1,103.7610683,E,1.2914850,N,360.0,511,9,0,3,1
1,0,413133000,0,+0.0,0.1,1,103.7927033,E,1.2665383,N,291.6,32,13,0,0,0
3,0,574682000,5,+0.0,0.0,0,103.7178333,E,1.3039833,N,53.0,311,10,0,5,0
1,0,566824000,8,-720.0,0.0,0,103.7649700,E,1.2711950,N,126.2,299,14,0,4,1
3,0,636024446,0,+127.0,0.9,0,103.7611283,E,1.2870183,N,136.5,267,12,0,0,0
3,0,565081000,0,-720.0,6.5,1,103.7556433,E,1.2679217,N,270.6,264,13,0,0,1
1,0,563185100,0,+0.0,0.0,0,103.7602383,E,1.2910750,N,115.8,300,12,0,0,0
1,0,565418000,0,-128.0,0.0,1,103.7605133,E,1.2908950,N,360.0,511,16,0,3,1
1,0,352002402,0,-128.0,0.0,1,103.7541450,E,1.2967317,N,280.0,511,16,0,0,1
1,0,563218000,11,-128.0,0.0,1,103.7571400,E,1.2996183,N,51.4,511,15,0,3,1
1,0,565207000,15,-128.0,0.2,0,103.7608083,E,1.2911800,N,251.8,511,16,0,5,1
3,0,200000000,15,-128.0,0.0,0,0,0,0,0,360.0,511,60,3,0,0
1,0,477929200,0,+0.0,0.5,0,103.7811133,E,1.2674833,N,126.7,34,15,0,0,0
1,0,563021430,0,-128.0,0.0,1,103.7608233,E,1.2915667,N,132.5,511,19,0,6,1
1,0,563009180,0,-128.0,0.8,1,103.7506533,E,1.2800550,N,192.3,511,19,0,2,0
1,0,563029950,15,-128.0,0.1,1,103.7610750,E,1.2914850,N,360.0,511,19,0,1,1
3,0,636022111,5,+0.0,0.0,0,103.7702900,E,1.2807717,N,117.4,31,19,0,5,0
3,0,565081000,0,-720.0,6.5,1,103.7554350,E,1.2679100,N,268.5,263,20,0,0,1
3,0,636024446,0,+127.0,0.6,0,103.7611433,E,1.2869967,N,142.7,269,21,0,0,0
1,0,413133000,0,+0.0,0.0,1,103.7927100,E,1.2665183,N,285.8,32,23,0,2,0
1,0,564215000,15,-128.0,1.4,1,103.7370933,E,1.2828117,N,64.7,511,25,0,3,1
1,0,563185100,0,+0.0,0.1,0,103.7602383,E,1.2910733,N,162.6,300,24,0,4,0
1,0,563187800,0,-720.0,0.7,1,103.7797217,E,1.2662167,N,128.1,120,23,0,2,0
1,0,636024446,0,+127.0,0.5,0,103.7611467,E,1.2869883,N,146.2,270,24,0,2,0
1,0,352001448,0,+5.4,0.3,1,103.7371133,E,1.2812983,N,71.4,316,14,0,1,0
3,0,200000000,15,-128.0,0.0,0,0,0,0,0,360.0,511,60,3,0,0
1,0,565418000,0,-128.0,0.0,1,103.7605133,E,1.2908950,N,360.0,511,27,0,5,1
1,0,566623000,8,-128.0,0.0,1,103.7605017,E,1.2910250,N,7.1,511,28,0,1,0
1,0,352002402,0,-128.0,0.0,1,103.7541467,E,1.2967300,N,280.0,511,27,0,2,1
1,0,563010320,0,+0.0,10.2,0,103.7458667,E,1.2431500,N,83.0,85,27,0,2,0
3,0,636024446,0,+127.0,0.5,0,103.7611483,E,1.2869817,N,151.7,271,28,0,0,0
1,0,563029950,15,-128.0,0.1,1,103.7610800,E,1.2914867,N,360.0,511,30,0,1,1
1,0,566449000,0,+0.0,0.0,0,103.7422117,E,1.2928783,N,15.3,115,31,0,4,0
1,0,563022400,0,-128.0,0.0,1,103.7557600,E,1.3026883,N,360.0,511,31,0,2,0
3,0,563227100,5,+0.7,0.0,1,103.7536267,E,1.3055167,N,338.2,62,32,0,5,0
